[100] - 127.0.0.1 - [07/Aug/2014 12:03:08 +03:00] Y:\home\upcms.up\www\admin\includes\enter.php - Успешный вход [jQuery] - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
[100] - 127.0.0.1 - [07/Aug/2014 15:05:54 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
[100] - 127.0.0.1 - [07/Aug/2014 15:05:54 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
[100] - 127.0.0.1 - [07/Aug/2014 15:05:54 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
[100] - 127.0.0.1 - [07/Aug/2014 15:05:54 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
[100] - 127.0.0.1 - [07/Aug/2014 15:05:54 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
[100] - 127.0.0.1 - [07/Aug/2014 15:05:54 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
[100] - 127.0.0.1 - [07/Aug/2014 15:05:54 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
[100] - 127.0.0.1 - [07/Aug/2014 15:05:54 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
[100] - 127.0.0.1 - [07/Aug/2014 15:05:54 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
[100] - 127.0.0.1 - [07/Aug/2014 15:05:54 +03:00] Y:\home\upcms.up\www\admin\includes\gallery.php - Сортировка фото в галерее [jQuery] - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
