[100] - Успешный вход [jQuery] - 127.0.0.1 - [22/Sep/2014 16:18:52 +03:00] Y:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Успешный вход [jQuery] - 127.0.0.1 - [22/Sep/2014 17:59:30 +03:00] Y:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Добавление торговой марки - (id:3) [jQuery] - 127.0.0.1 - [22/Sep/2014 20:12:03 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Редактирование торговой марки - (id:3) [jQuery] - 127.0.0.1 - [22/Sep/2014 20:12:32 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Редактирование торговой марки - (id:3) [jQuery] - 127.0.0.1 - [22/Sep/2014 20:12:45 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Удаление торговой марки - (id:3) [jQuery] - 127.0.0.1 - [22/Sep/2014 20:12:57 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Добавление торговой марки - (id:4) [jQuery] - 127.0.0.1 - [22/Sep/2014 20:13:43 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Удаление торговой марки - (id:4) [jQuery] - 127.0.0.1 - [22/Sep/2014 20:13:46 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Добавление товара - (id:1) [jQuery] - 127.0.0.1 - [22/Sep/2014 21:22:24 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Редактирование категории - (id:0) [jQuery] - 127.0.0.1 - [22/Sep/2014 21:28:20 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Редактирование категории - (id:0) [jQuery] - 127.0.0.1 - [22/Sep/2014 21:28:59 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Добавление товара - (id:1) [jQuery] - 127.0.0.1 - [22/Sep/2014 21:32:08 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
