[100] - Успешный вход [jQuery] - 127.0.0.1 - [10/Oct/2014 14:44:44 +03:00] Y:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Изменение пароля - [jQuery] - 127.0.0.1 - [10/Oct/2014 15:31:05 +03:00] Y:\home\upcms.up\www\admin\includes\profile.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[101] - Изменение пароля - Неверно указан текущий пароль [jQuery] - 127.0.0.1 - [10/Oct/2014 15:31:32 +03:00] Y:\home\upcms.up\www\admin\includes\profile.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Изменение пароля - [jQuery] - 127.0.0.1 - [10/Oct/2014 15:31:49 +03:00] Y:\home\upcms.up\www\admin\includes\profile.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Редактирование пункта меню [jQuery] - 127.0.0.1 - [10/Oct/2014 15:33:33 +03:00] Y:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Изменение пароля - [jQuery] - 127.0.0.1 - [10/Oct/2014 15:35:11 +03:00] Y:\home\upcms.up\www\admin\includes\profile.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Изменение пароля - [jQuery] - 127.0.0.1 - [10/Oct/2014 15:37:21 +03:00] Y:\home\upcms.up\www\admin\includes\profile.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Изменение пароля - [jQuery] - 127.0.0.1 - [10/Oct/2014 15:37:30 +03:00] Y:\home\upcms.up\www\admin\includes\profile.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[101] - Изменение пароля - Неверно указан текущий пароль [jQuery] - 127.0.0.1 - [10/Oct/2014 15:38:11 +03:00] Y:\home\upcms.up\www\admin\includes\profile.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[101] - Изменение пароля - Неверно указан текущий пароль [jQuery] - 127.0.0.1 - [10/Oct/2014 15:40:06 +03:00] Y:\home\upcms.up\www\admin\includes\profile.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Изменение пароля - [jQuery] - 127.0.0.1 - [10/Oct/2014 15:40:21 +03:00] Y:\home\upcms.up\www\admin\includes\profile.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Заказ перенесён в оброботанные (id:1) [jQuery] - 127.0.0.1 - [10/Oct/2014 16:27:04 +03:00] Y:\home\upcms.up\www\admin\includes\orders.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Заказ перенесён в необработанные (id:1) [jQuery] - 127.0.0.1 - [10/Oct/2014 16:27:10 +03:00] Y:\home\upcms.up\www\admin\includes\orders.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Заказ перенесён в оброботанные (id:1) [jQuery] - 127.0.0.1 - [10/Oct/2014 16:29:07 +03:00] Y:\home\upcms.up\www\admin\includes\orders.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Заказ перенесён в необработанные (id:1) [jQuery] - 127.0.0.1 - [10/Oct/2014 16:29:11 +03:00] Y:\home\upcms.up\www\admin\includes\orders.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Заказ перенесён в оброботанные (id:1) [jQuery] - 127.0.0.1 - [10/Oct/2014 16:30:15 +03:00] Y:\home\upcms.up\www\admin\includes\orders.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Заказ перенесён в оброботанные (id:1) [jQuery] - 127.0.0.1 - [10/Oct/2014 16:31:33 +03:00] Y:\home\upcms.up\www\admin\includes\orders.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
[100] - Заказ перенесён в необработанные (id:1) [jQuery] - 127.0.0.1 - [10/Oct/2014 16:32:09 +03:00] Y:\home\upcms.up\www\admin\includes\orders.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
