[100] - Успешный вход [jQuery] - 127.0.0.1 - [08/Dec/2014 08:52:32 +02:00] Y:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Добавление товара - (id:7) [jQuery] - 127.0.0.1 - [08/Dec/2014 11:26:43 +02:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Добавление товара - (id:8) [jQuery] - 127.0.0.1 - [08/Dec/2014 11:28:24 +02:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Удаление товара - (id:7) [jQuery] - 127.0.0.1 - [08/Dec/2014 11:28:58 +02:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Удаление товара - (id:8) [jQuery] - 127.0.0.1 - [08/Dec/2014 11:29:03 +02:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Добавление товара - (id:9) [jQuery] - 127.0.0.1 - [08/Dec/2014 11:30:00 +02:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Добавление товара - (id:10) [jQuery] - 127.0.0.1 - [08/Dec/2014 11:30:57 +02:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Редактирование товара - (id:9) [jQuery] - 127.0.0.1 - [08/Dec/2014 11:32:44 +02:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Завершение сеанса [jQuery] - 127.0.0.1 - [08/Dec/2014 13:07:53 +02:00] Y:\home\upcms.up\www\admin\includes\exit.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[101] - Логин или пароль введены неверно [jQuery & qwerty] - 127.0.0.1 - [08/Dec/2014 13:08:52 +02:00] Y:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[101] - Логин или пароль введены неверно [jQuery & qwerty] - 127.0.0.1 - [08/Dec/2014 13:08:53 +02:00] Y:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[101] - Логин или пароль введены неверно [jQuery & qwerty] - 127.0.0.1 - [08/Dec/2014 13:08:54 +02:00] Y:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Успешный вход [Виталий] - 127.0.0.1 - [08/Dec/2014 13:09:07 +02:00] Y:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Добавление пользователя - (id:2) [Виталий] - 127.0.0.1 - [08/Dec/2014 14:37:02 +02:00] Y:\home\upcms.up\www\admin\includes\admins.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Добавление пользователя - (id:3) [Виталий] - 127.0.0.1 - [08/Dec/2014 14:37:44 +02:00] Y:\home\upcms.up\www\admin\includes\admins.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Редактирование пользователя - (id:0) [Виталий] - 127.0.0.1 - [08/Dec/2014 15:09:22 +02:00] Y:\home\upcms.up\www\admin\includes\admins.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Редактирование пользователя - (id:0) [Виталий] - 127.0.0.1 - [08/Dec/2014 15:10:07 +02:00] Y:\home\upcms.up\www\admin\includes\admins.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Редактирование пользователя - (id:0) [Виталий] - 127.0.0.1 - [08/Dec/2014 15:10:14 +02:00] Y:\home\upcms.up\www\admin\includes\admins.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Редактирование пользователя - (id:0) [Виталий] - 127.0.0.1 - [08/Dec/2014 15:10:24 +02:00] Y:\home\upcms.up\www\admin\includes\admins.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Редактирование пользователя - (id:0) [Виталий] - 127.0.0.1 - [08/Dec/2014 15:10:30 +02:00] Y:\home\upcms.up\www\admin\includes\admins.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
[100] - Редактирование пользователя - (id:0) [Виталий] - 127.0.0.1 - [08/Dec/2014 15:10:36 +02:00] Y:\home\upcms.up\www\admin\includes\admins.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36
