[100] - Успешный вход [Виталий] - 127.0.0.1 - [13/Jan/2015 13:01:39 +02:00] U:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Редактирование раздела - (id:3) [Виталий] - 127.0.0.1 - [13/Jan/2015 14:53:40 +02:00] U:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Добавление пункта меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:50:25 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Сортировка пунктов меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:50:32 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Сортировка пунктов меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:50:32 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Сортировка пунктов меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:50:32 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Сортировка пунктов меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:50:32 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Сортировка пунктов меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:50:32 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Добавление пункта меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:51:07 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Сортировка пунктов меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:51:15 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Сортировка пунктов меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:51:15 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Сортировка пунктов меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:51:15 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Сортировка пунктов меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:51:15 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Сортировка пунктов меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:51:15 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Сортировка пунктов меню [Виталий] - 127.0.0.1 - [13/Jan/2015 19:51:15 +02:00] U:\home\upcms.up\www\admin\includes\menu.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
