[100] - Успешный вход [Виталий] - 127.0.0.1 - [14/Jan/2015 19:43:22 +02:00] U:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0
[100] - Успешный вход [Виталий] - 127.0.0.1 - [14/Jan/2015 19:44:58 +02:00] U:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Успешный вход [Виталий] - 127.0.0.1 - [14/Jan/2015 19:57:45 +02:00] U:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
