[100] - Успешный вход [Виталий] - 127.0.0.1 - [05/Mar/2015 10:52:22 +02:00] U:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [05/Mar/2015 12:41:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [05/Mar/2015 12:41:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [05/Mar/2015 12:41:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [05/Mar/2015 12:41:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [05/Mar/2015 12:41:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [05/Mar/2015 12:41:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [05/Mar/2015 12:41:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [05/Mar/2015 12:41:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [05/Mar/2015 12:41:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [05/Mar/2015 12:41:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [05/Mar/2015 12:41:32 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
